ID	Method	Prompt	Transcript	Judgement	Original Judgement
3966	RG	Sag: Dies ist mein Pass	it is my passport	accept	accept
3967	RG	Frag: ein Ticket zum Green Park	i need a ticket to green park	accept	accept
3968	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i would like to pay by credit card	accept	accept
3969	RG	Frag: 2 Tickets nach London	i need two tickets to london	accept	accept
3970	RG	Sag: Ich möchte am Freitagmorgen abreisen	i want to leave on friday morning	accept	accept
3971	RG	Sag: Ich heisse Silvia	my name is silvia	accept	accept
3972	RG	Sag: Ich bin aus England	i am from england	accept	accept
3973	RG	Frag: 6 Tickets nach London	i need six tickets to london	accept	accept
3974	magic	Sag: Ich möchte am Freitagabend abreisen	i want to leave on friday night	accept	accept
3975	RG	Sag: Ich heisse Stephanie	my name is stephanie	accept	accept
3976	RG	Sag: Ich bin aus Deutschland	i am from germany	accept	accept
3977	RG	Frag: 2 Tickets nach London	i need two tickets to london	accept	accept
3978	RG	Sag: Ich möchte um 8 Uhr morgen abreisen	i want to leave at eight o'clock tomorrow	accept	accept
3979	RG	Frag: Wie viel kostet es?	how much is it	accept	accept
3980	RG	Frag: billigeres Ticket	i want a cheaper ticket	accept	accept
3981	RG	Sag: Das ist okay	this is okay	accept	accept
3982	RG	Sag: Ich heisse Paul	my name is paul	accept	accept
3983	RG	Sag: Ich bin aus Australien	i am from australia	accept	accept
3986	RG	Sag: Ich habe keine Reservation	i do no i do not have a reservation	accept	accept
3987	RG	Frag: Zimmer für 6 Nächte	a room for six nights	accept	accept
3988	RG	Frag: Doppelzimmer	a double room	accept	accept
3989	RG	Frag: Doppelzimmer	i would like a double room	accept	accept
3991	RG	Frag: Gibt es einen Lift?	is there a lift	accept	accept
3992	RG	Frag: 2 Musical-Tickets	i need two musical tickets	accept	accept
3993	RG	Frag: 2 Tickets für Sonntagabend	i need two tickets for sunday night	accept	accept
3995	RG	Sag: Ich möchte in der fünften Reihe sitzen	i would like to sit in the fifth row	accept	accept
3996	RG	Frag: Tickets für das Science Museum	i need tickets for the science museum	accept	accept
3997	RG	Frag: 1 Ticket	i need one ticket	accept	accept
3998	RG	Frag: 2 Musical-Tickets	i need two musical tickets	accept	accept
3999	RG	Frag: 2 Tickets für heute Abend	i need two tickets for tonight	accept	accept
4000	RG	Frag: 2 Tickets für Mamma Mia	i need two tickets for mamma mia	accept	accept
4001	no method	Frag: Ticket für dieses Musical	i need tickets a ticket for this musical	reject	accept
4002	magic	Frag: Ticket für dieses Musical	i need a ticket for this musical	accept	accept
4003	RG	Sag: Ich möchte hinten sitzen	i want to sit in the back	accept	accept
4004	RG	Frag: Tickets für das British Museum	i need tickets for the british museum	accept	accept
4005	RG	Frag: 3 Tickets	i need three tickets	accept	accept
4006	RG	Frag: Zimmer für 5 Nächte	i want a room for five nights	accept	accept
4007	no method	Frag: Twinzimmer	i want a double room	reject	reject
4008	RG	Frag: Twinzimmer	a twin room	accept	accept
4009	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	accept	accept
4010	credit card cluster	Sag: Ich möchte mit Euros bezahlen	i will pay with euros	reject	reject
4011	no method	Frag: Gibt es ein Hotelrestaurant?	are there a hotel restaurant	reject	reject
4012	RG	Frag: Gibt es ein Hotelrestaurant?	is there a hotel restaurant	accept	accept
4014	RG	Sag: Ich habe keine Reservation	i have no reservation	accept	accept
4015	no method	Sag: Ich habe keine Reservation	i do not no i do not have a reservation	reject	accept
4016	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
4017	RG	Frag: Zimmer für 2 Nächte	a room for two nights	accept	accept
4018	RG	Frag: Suite	i would like a suite	accept	accept
4019	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	accept	accept
4020	RG	Frag: Gibt es einen Lift?	is there a a lift	accept	accept
4021	RG	Frag: Zimmer für 3 Nächte	a room for three nights	accept	accept
4022	RG	Frag: Junior Suite	i would like a junior suite	accept	accept
4023	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	accept	accept
4024	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	accept	accept
4025	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	accept	accept
4026	RG	Frag: Einzelzimmer	i would like a single room	accept	accept
4028	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	accept	accept
4029	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4030	no method	Frag: Zimmer für 5 Nächte	want a room for five nights	reject	reject
4031	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4032	RG	Frag: Zimmer für 5 Nächte	a room for five nights	accept	accept
4033	RG	Frag: Twinzimmer	a twin room	accept	accept
4034	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i want to pay with a credit card	accept	accept
4035	RG	Frag: Gibt es einen Coiffeur?	do you have a hairdresser	accept	accept
4036	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4037	RG	Sag: Mein Badezimmer ist dreckig	my bathroom is dirty	accept	accept
4038	no method	Frag: Wo ist der Haarföhn?	where is the hair blower	reject	reject
4039	no method	Frag: Wo ist der Haarföhn?	where is the hair blower	reject	reject
4040	no method	Frag: Wo ist der Haarföhn?	where is the hair blower	reject	reject
4041	RG	Frag: Zimmer für 3 Nächte	a room for three nights	accept	accept
4042	RG	Frag: Twinzimmer	a twin room	accept	accept
4043	RG	Sag: Ich möchte mit Mastercard bezahlen	i would like to pay with mastercard	accept	accept
4044	RG	Frag: Gibt es eine Hotelbar?	do you have a hotel bar	accept	accept
4045	RG	Frag: Wo ist die Hotelbar?	where is the hotel bar	accept	accept
4046	RG	Sag: Mein WC ist dreckig	my toilet is dirty	accept	accept
4047	no method	Sag: Im Zimmer hat es keinen Haarföhn	in the room	reject	reject
4048	no method	Sag: Im Zimmer hat es keinen Haarföhn	the room has not a hair dryer	reject	reject
4049	no method	Sag: Im Zimmer hat es keinen Haarföhn	in the room is not a hair dryer	reject	reject
4050	RG	Frag: Zimmer für 6 Nächte	a room for six nights	accept	accept
4051	RG	Frag: Twinzimmer	a twin room	accept	accept
4052	RG	Frag: ein Ticket zum Trafalgar Square	a ticket to trafalgar square	accept	accept
4053	RG	Frag: ein Ticket zum Trafalgar Square	a ticket to trafalgar square	accept	accept
4058	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by master card	accept	accept
4061	RG	Frag: ein Ticket zum Trafalgar Square	can i have a ticket to trafalgar square	accept	accept
4062	credit card cluster	Sag: Ich möchte mit Visa bezahlen	can i pay with a visa	accept	reject
4063	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay with pfund	reject	reject
4064	RG	Sag: Ich möchte mit Pfund bezahlen	can i pay with pounds	accept	accept
4065	RG	Frag: 3 Musical-Tickets	can i have three musical tickets	accept	accept
4066	magic	Sag: Ich möchte heute Abend gehen	can i go this evening	accept	accept
4067	RG	Sag: Ich möchte heute Abend gehen	i want to go this evening	accept	accept
4068	no method	Sag: Ich möchte heute Abend gehen	can i go this evening	reject	accept
4069	RG	Frag: 3 Tickets für das Phantom der Oper	i want three tickets for the phantom of the opera	accept	accept
4070	no method	Sag: Ich möchte hinten sitzen	can i sit for behind	reject	reject
4071	RG	Sag: Ich möchte hinten sitzen	i want to sit in the back	accept	accept
4072	no method	Sag: Ich möchte hinten sitzen	can i sit in the back	reject	accept
4073	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	accept	accept
4075	RG	Frag: 4 Tickets für morgen Abend	i would like four tickets for tomorrow evening	accept	accept
4079	no method	Frag: mein Steak rare	i want steak rare	reject	reject
4080	magic	Frag: mein Steak rare	i want a rare steak	accept	accept
4081	no method	Frag: mein Steak rare	i would like to have a steak rare	reject	reject
4083	no method	Frag: etwas Kartoffelstock	i would like to have some of the smashed potatoes	reject	reject
4085	Restarant Cluster	Frag: Ich möchte die Dessertkarte	i would like the dessert card	reject	reject
4087	no method	Frag: weisse Stiefel	would like white boots	reject	reject
4088	RG	Frag: weisse Stiefel	i would like white boots	accept	accept
4089	RG	Frag: Grösse 41	forty one	accept	accept
4090	RG	Frag: Grösse 41	forty one	accept	accept
4091	RG	Frag: Jeans	i want some jeans	accept	accept
4092	magic	Frag: Jeans	i would like to have some jeans	accept	accept
4093	RG	Frag: weisse Jeans	i want white jeans	accept	accept
4094	no method	Frag: eine L	big	reject	reject
4095	no method	Frag: eine L	big	reject	reject
4097	RG	Frag: Wie viel kostet die Jeans?	how much do the jeans cost	accept	accept
4098	RG	Sag: Dies ist zu teuer	this is too expensive	accept	accept
4099	no method	Frag: Welcher Bus fährt dorthin?	which bus drives there	reject	reject
4100	no method	Sag: Marble Arch ist gegenüber dem Hyde Park	marble arch is in front of the hyde park	reject	reject
4102	RG	Frag: Gibt es einen Lift?	is there a lift	accept	accept
4103	RG	Frag: Wo ist der Lift?	where is the lift	accept	accept
4104	magic	Frag: Wo ist der Lift?	there is the lift	accept	reject
4105	RG	Frag: Wo ist der Lift?	where is the lift	accept	accept
4106	RG	Sag: Ich bin aus Deutschland	i am from germany	accept	accept
4107	RG	Sag: Ich bin aus Spanien	i am from spain	accept	accept
4108	RG	Sag: Ich möchte um 16 Uhr morgen abreisen	i would like to leave tomorrow at four p m	accept	accept
4109	RG	Sag: Ich bin aus Australien	i am from australia	accept	accept
4110	RG	Sag: Ich heisse Janet	my name is janet	accept	accept
4111	RG	Sag: Ich bin aus Österreich	i am from austria	accept	accept
4112	RG	Sag: Ich heisse Erica	my name is erica	accept	accept
4113	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4114	RG	Sag: Ich möchte mit Mastercard bezahlen	i want to pay with master card	accept	accept
4115	no method	Frag: Gibt es einen Lebensmittelladen?	does it have a sup supermarket	reject	accept
4116	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	accept	accept
4117	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	accept	accept
4118	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	accept	accept
4119	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	accept	accept
4120	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	accept	accept
4121	no method	Sag: Ich möchte um 12 Uhr morgen abreisen	i want to leave at twelve o'clock tomorrow	reject	accept
4122	no method	Sag: Ich möchte um 12 Uhr morgen abreisen	i would like to leave at twelve o'clock tomorrow	reject	accept
4123	RG	Sag: Ich bin aus Schottland	i am from scotland	accept	accept
4125	RG	Frag: Einzelzimmer	a single room	accept	accept
4126	RG	Frag: Einzelzimmer	a single room	accept	accept
4127	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i want to pay with the credit card	accept	accept
4128	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	would i play with my credit card	reject	reject
4129	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i want to pay by credit card	accept	accept
4130	RG	Frag: Gibt es eine Hotelbar?	is there a hotel bar	accept	accept
4131	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
4132	RG	Frag: Zimmer für 7 Nächte	a room for seven nights	accept	accept
4133	RG	Frag: Einzelzimmer	a single room	accept	accept
4134	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i would to pay by credit card	reject	reject
4135	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i would to play pay by credit card	reject	reject
4136	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i would pay by credit card	reject	reject
4137	RG	Frag: Gibt es ein Hotelrestaurant?	is there a hotel restaurant	accept	accept
4138	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	accept	accept
4139	RG	Frag: Zimmer für 3 Nächte	a room for three nights	accept	accept
4140	RG	Frag: Zimmer für 3 Nächte	a room for three nights	accept	accept
4141	RG	Frag: Zimmer für 3 Nächte	a room for three nights	accept	accept
4142	RG	Frag: Einzelzimmer	single room	accept	accept
4143	RG	Frag: Einzelzimmer	a single room	accept	accept
4144	RG	Frag: Einzelzimmer	single room	accept	accept
4145	RG	Sag: Ich möchte mit Visa bezahlen	i want to pay by visa	accept	accept
4146	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would to pay by visa	reject	reject
4147	credit card cluster	Sag: Ich möchte mit Dollars bezahlen	i would to pay by dollars	reject	reject
4148	no method	Frag: Gibt es einen Coiffeur?	is there a coiffeur	reject	reject
4149	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	accept	accept
4150	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4151	RG	Sag: Mein WC ist dreckig	my toilet is dirty	accept	accept
4152	RG	Sag: Im Zimmer hat es kein Shampoo	in the room there is no shampoo	accept	accept
4153	RG	Sag: Im Zimmer hat es kein Shampoo	there is no shampoo in the room	accept	accept
4154	RG	Sag: Im Zimmer hat es kein Shampoo	there is no shampoo in the room	accept	accept
4155	no method	Frag: Wo kann ich ein Shampoo kaufen?	where i can buy shampoo	reject	reject
4156	RG	Frag: Wo kann ich ein Shampoo kaufen?	where can i buy shampoo	accept	accept
4157	RG	Frag: 4 Tickets nach London	four tickets to london	accept	accept
4158	magic	Frag: 4 Tickets nach London	four tickets for london	accept	accept
4159	RG	Frag: 4 Tickets nach London	four tickets to london	accept	accept
4161	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
4162	no method	Frag: Zimmer für 2 Nächte	i stay for two nights	reject	reject
4164	RG	Frag: Doppelzimmer	i would like a double room	accept	accept
4165	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would pay with post card	reject	reject
4166	RG	Frag: Gibt es ein Schwimmbad?	do you have a swimming pool	accept	accept
4167	RG	Frag: Wo ist das Schwimmbad?	where is the swimming pool	accept	accept
4168	no method	Frag: Zimmer für 1 Woche	do not you hahaha i would have a room for one week	reject	reject
4171	RG	Frag: Twinzimmer	twin room	accept	accept
4172	RG	Frag: Twinzimmer	a twin room	accept	accept
4174	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i want to pay with credit card	accept	reject
4175	RG	Frag: Gibt es einen Lebensmittelladen?	do you have a supermarket	accept	accept
4176	RG	Frag: Gibt es einen Lebensmittelladen?	is there a supermarket	accept	accept
4177	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	accept	accept
4178	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	accept	accept
4179	RG	Sag: Das WC ist dreckig	the toilet is dirty	accept	accept
4180	no method	Sag: Im Zimmer hat es keinen Haarföhn	i could not i could not find the	reject	reject
4181	no method	Sag: Im Zimmer hat es keinen Haarföhn	i could not find the ha hairdryer	reject	accept
4182	RG	Sag: Im Zimmer hat es keinen Haarföhn	i could not find the hairdryer	accept	accept
4183	RG	Frag: Wo kann ich einen Haarföhn kaufen?	where i can buy a hairdryer	accept	accept
4184	RG	Frag: Wo kann ich einen Haarföhn kaufen?	where can i buy a hairdryer	accept	accept
4185	no method	Sag: Ich habe keine Reservation	abi du dubbel	reject	reject
4186	no method	Sag: Ich habe keine Reservation	i have not a	reject	reject
4187	RG	Sag: Ich habe keine Reservation	i have no reservation	accept	accept
4188	RG	Sag: Ich habe keine Reservation	i have not got a reservation	accept	accept
4189	RG	Frag: Zimmer für 2 Nächte	a room for two nights	accept	accept
4190	RG	Frag: Doppelzimmer	a double room	accept	accept
4191	no method	Frag: Doppelzimmer	a room for two person	reject	reject
4192	RG	Frag: Doppelzimmer	i would like a double room	accept	accept
4194	RG	Frag: Gibt es ein Hotelrestaurant?	is there a hotel restaurant	accept	accept
4195	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	accept	accept
4196	magic	Frag: ein Ticket nach London	i would have a ticket to london	accept	reject
4197	no method	Frag: ein Ticket nach London	i would one ticket to	reject	reject
4199	RG	Sag: Ich möchte um 16 Uhr morgen abreisen	i would like to leave tomorrow at four p m	accept	accept
4200	RG	Sag: Ich heisse Michelle	my name is michelle	accept	accept
4201	RG	Sag: Ich bin aus Kanada	i am from canada	accept	accept
4202	RG	Sag: Ich heisse Andy	my name is andy	accept	accept
4203	RG	Sag: Ich bin aus Deutschland	i am from germany	accept	accept
4204	no method	Sag: Die Hauptstadt von Deutschland ist Berlin	the capital of my country is berlin	reject	reject
4205	RG	Sag: Die Hauptstadt von Deutschland ist Berlin	the capital of germany is berlin	accept	accept
4206	RG	Sag: Ich habe 2 ältere Schwestern	i have two older sisters	accept	accept
4207	RG	Sag: Ich gehe in die Ferien	i am on holiday	accept	accept
4208	RG	Sag: Dies ist mein Pass	this is my passport	accept	accept
4209	RG	Sag: Mir geht es gut	i am good	accept	accept
4210	RG	Sag: Mir geht es gut	i am good	accept	accept
4211	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i will pay with credit card	reject	reject
4212	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i will pay with credit card	reject	reject
4213	no method	Frag: Gibt es ein Fitnessstudio?	gives here a fitness studio	reject	reject
4214	RG	Frag: Wo ist das Fitnessstudio?	where is the fitness studio	accept	accept
4215	RG	Frag: Wo ist das Fitnessstudio?	where is the fitness studio	accept	accept
4216	no method	Sag: Das WC ist dreckig	the wc is sale	reject	reject
4217	no method	Sag: Das WC ist dreckig	the wc is sale	reject	reject
4219	RG	Frag: Zimmer für 3 Nächte	can i have a room for three nights	accept	accept
4220	RG	Frag: Junior Suite	can i have a junior suite	accept	accept
4222	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i like pay with post card	reject	reject
4223	no method	Frag: Gibt es einen Coiffeur?	gives here a hairdresser	reject	reject
4224	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4225	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
4226	RG	Frag: Wo ist das Science Museum?	where is the science museum	accept	accept
4227	no method	Frag: Wo ist das Science Museum?	where is the single ience museum	reject	reject
4228	RG	Frag: Wo ist das Science Museum?	where is the science museum	accept	accept
4229	RG	Frag: Wo ist der Tower?	where is the tower	accept	accept
4230	RG	Frag: Wo ist der Tower?	where is the tower	accept	accept
4231	no method	Frag: Wo ist der Tower?	can you give me the directions to the tower of london	reject	accept
4232	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
4233	no method	Sag: Marble Arch ist gegenüber dem Hyde Park	the marble arch is nei on the other side of hyde park	reject	reject
4234	no method	Sag: Marble Arch ist gegenüber dem Hyde Park	the arch is at the other side opposite hyde park	reject	reject
4236	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
4237	magic	Sag: Ich habe keine Reservation	i have not a reservation	accept	reject
4238	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
4239	no method	Sag: Ich habe keine Reservation	i have not reservation	reject	reject
4240	no method	Sag: Ich habe keine Reservation	i have not reservation	reject	reject
4241	no method	Sag: Ich habe keine Reservation	i have not a reservation	reject	reject
4243	no method	Sag: Ich habe keine Reservation	you are a dubbel	reject	reject
4244	magic	Sag: Ich habe keine Reservation	i do not have not a reservation	accept	reject
4245	no method	Sag: Ich habe keine Reservation	you are a dubbel	reject	reject
4246	no method	Sag: Ich habe keine Reservation	kuckuck	reject	reject
4247	magic	Sag: Ich habe keine Reservation	i do not have not a reservation i do not have not a reservation	accept	reject
4248	no method	Sag: Ich habe keine Reservation	grüessech frau käser	reject	reject
4249	no method	Sag: Ich habe keine Reservation	funktioniert nid jo guet muesch nüt meh säge	reject	reject
4250	RG	Frag: Zimmer für 3 Nächte	can i have a room for three nights can i have a room for three nights	accept	accept
4251	RG	Frag: Suite	can i have a suite	accept	accept
4252	magic	Frag: Suite	suite	accept	accept
4254	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would pay with visa	reject	reject
4255	no method	Frag: Gibt es ein Fitnessstudio?	gives here a fitness studio	reject	reject
4256	RG	Frag: Wo ist das Fitnessstudio?	where is the fitness studio	accept	accept
4257	RG	Frag: Wo ist das Fitnessstudio?	where is the fitness studio	accept	accept
4258	RG	Frag: Wo ist das Fitnessstudio?	where is the fitness studio	accept	accept
4259	RG	Frag: 4 Musical-Tickets	can i have four musical tickets	accept	accept
4260	no method	Frag: 4 Musical-Tickets	i would like buy four musical tickets	reject	reject
4261	magic	Frag: 4 Musical-Tickets	i will pay four musical tickets	accept	reject
4262	meaning_reject	Frag: ein Ticket für Mittwochabend	can i have a ticket for midday night	reject	reject
4264	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
4265	RG	Sag: Mir geht es gut	i am fine	accept	accept
4266	no method	Frag: Stiefel	i want to have shoes	reject	reject
4267	RG	Frag: Stiefel	i would like some boots	accept	accept
4268	RG	Frag: weisse Stiefel	i would like white boots	accept	accept
4269	RG	Frag: Grösse 39	thirty-nine	accept	accept
4270	RG	Frag: ein T-Shirt	i would like a t-shirt	accept	accept
4271	magic	Frag: ein T-Shirt	i will like a t-shirt	accept	reject
4272	RG	Frag: ein T-Shirt	i would like a t-shirt	accept	accept
4273	RG	Sag: Mir geht es gut	i am fine	accept	accept
4274	RG	Frag: Sandalen	i would like sandals	accept	accept
4276	RG	Frag: rote Sandalen	i would like red sandals	accept	accept
4277	RG	Frag: rote Sandalen	red sandals	accept	accept
4278	RG	Frag: Grösse 42	forty-two	accept	accept
4279	RG	Frag: Hosen	i would like trousers	accept	accept
4280	RG	Frag: Hosen	i am looking for trousers	accept	accept
4281	RG	Frag: pinkige Hosen	i would like pink trousers	accept	accept
4283	no method	Frag: Wie viel kostet die Hose?	how much does the trousers cost	reject	reject
4284	magic	Sag: Die Hose ist zu teuer	this trousers is too teuer	accept	reject
4286	no method	Frag: Wo ist das Naturhistorische Museum?	i am looking for the naturally naturally history museum	reject	reject
4287	no method	Frag: Wo ist das Naturhistorische Museum?	i am looking for the natury history museum	reject	reject
4288	no method	Frag: Wo ist Big Ben?	where are the big ben	reject	reject
4289	magic	Frag: Wo ist Big Ben?	where is the big ben	accept	reject
4290	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
4291	no method	Sag: Marble Arch ist gegenüber dem Hyde Park	marble arch is vis à vis the hyde park	reject	reject
4292	meaning_reject	Frag: ein Ticket nach Notting Hill	a billet to nothing hill	reject	reject
4293	no method	Frag: ein Ticket nach Notting Hill	a billet to notting hill	reject	reject
4294	RG	Frag: ein Ticket nach Notting Hill	i would like a ticket to notting hill	accept	accept
4296	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	can i pay be mastercard	reject	reject
4297	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay with mastercard	accept	accept
4299	no method	Frag: 5 Tickets nach London	i would like boy five tickets to london	reject	reject
4300	RG	Frag: 5 Tickets nach London	i would like five tickets to london	accept	accept
4302	RG	Sag: Ich möchte am Sonntagnachmittag abreisen	i would like to leave on sunday afternoon	accept	accept
4304	RG	Sag: Ich heisse Sarah	my name is sarah	accept	accept
4305	no method	Sag: Ich bin aus Österreich	i am from austrish	reject	reject
4306	RG	Sag: Ich heisse Silvia	my name is silvia	accept	accept
4307	RG	Sag: Ich bin aus England	i am from england	accept	accept
4308	meaning_reject	Frag: ein Ticket zum Piccadilly Circus	tickets to the pissadilly circus	reject	reject
4309	no method	Frag: ein Ticket zum Piccadilly Circus	i want a ticket to piccasarticircus	reject	reject
4310	RG	Frag: ein Ticket zum Piccadilly Circus	i want a ticket to piccadilly circus	accept	accept
4311	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	i want buy with the master card	reject	reject
4312	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	can i pay diner's card	reject	reject
4313	RG	Frag: 4 Musical-Tickets	four musical tickets	accept	accept
4314	no method	Frag: 4 Musical-Tickets	i want pay four musical tickets	reject	reject
4315	RG	Frag: 4 Musical-Tickets	i would like to buy four musical tickets	accept	accept
4317	RG	Frag: 4 Tickets für Mittwochabend	four tickets for wednesday evening	accept	accept
4318	RG	Frag: 4 Tickets für Mittwochabend	i want four tickets for wednesday night	accept	accept
4319	RG	Frag: 4 Tickets für das Phantom der Oper	i want four tickets for the phantom of the opera	accept	accept
4321	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	accept	accept
4322	RG	Frag: Tickets für das London Eye	tickets for the london eye	accept	accept
4323	RG	Frag: Tickets für das London Eye	tickets for the london eye	accept	reject
4324	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	accept	accept
4325	RG	Frag: 2 Tickets	two tickets	accept	accept
4326	RG	Frag: 2 Tickets	can i have two tickets	accept	accept
4327	RG	Frag: eine Limonade	i would like a lemonade	accept	accept
4328	RG	Frag: einen Hamburger	i would like a hamburger	accept	accept
4329	RG	Frag: meinen Hamburger rare	i would like my hamburger rare	accept	accept
4330	RG	Frag: meinen Hamburger rare	i would like my hamburger rare	accept	accept
4331	RG	Frag: meinen Hamburger rare	i would like my hamburger rare	accept	accept
4332	magic	Frag: Auberginen	i would like aubergines	accept	accept
4333	RG	Frag: Auberginen	could i have some aubergines	accept	accept
4334	Restarant Cluster	Frag: Ich möchte die Dessertkarte	i would like the dessert card	reject	reject
4335	Restarant Cluster	Frag: Ich möchte die Dessertkarte	i would like the dessert plan	reject	reject
4336	RG	Frag: Ich möchte die Dessertkarte	the dessert menu	accept	accept
4337	RG	Frag: Custard Tart	i would like the custard tart	accept	accept
