ID	Method	Prompt	Transcript	Meaning	Original Meaning
3570	no method	Frag: Zimmer für 1 Woche	can i have a hotel room for one night	incorrect	incorrect
3571	RG	Frag: Zimmer für 1 Woche	i want a room for one week	correct	correct
3572	RG	Frag: Twinzimmer	a twin room	correct	correct
3573	RG	Sag: Ich möchte mit Kreditkarte bezahlen	can i pay by credit card	correct	correct
3574	no method	Frag: Gibt es ein Fitnessstudio?	have a fitness studio	incorrect	correct
3575	RG	Frag: 3 Musical-Tickets	i would like to buy three musical tickets	correct	correct
3576	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	correct	correct
3577	RG	Sag: Ich möchte am Montagabend gehen	i would like to go on monday night	correct	correct
3579	RG	Frag: 3 Tickets für König der Löwen	i want three tickets for the lion king	correct	correct
3580	no method	Sag: Ich möchte vorne sitzen	i would like to sit in the john	incorrect	incorrect
3581	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	correct	correct
3582	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	correct	correct
3583	RG	Frag: Tickets für die National Gallery	i would like tickets for the national gallery	correct	correct
3584	no method	Frag: Tickets für die National Gallery	i would like i would like nationaly gal i would ah mann	incorrect	incorrect
3587	RG	Frag: ein Ticket zum Piccadilly Circus	i would like a ticket to piccadilly circus	correct	correct
3588	RG	Sag: Ich möchte mit Visa bezahlen	i would like to pay with visa	correct	correct
3589	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would like to pay be visa	correct	correct
3590	RG	Frag: ein Ticket zum Green Park	i need a ticket to green park	correct	correct
3592	credit card cluster	Sag: Ich möchte mit Visa bezahlen	i would like to bay with visa	incorrect	correct
3593	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pound	incorrect	correct
3594	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pound	incorrect	correct
3595	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	can i pay by pounds	correct	correct
3596	RG	Frag: ein Ticket nach Notting Hill	i would like a ticket to notting hill	correct	correct
3597	RG	Sag: Ich möchte mit Mastercard bezahlen	can i i pay by mastercard	correct	correct
3598	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by master card	correct	correct
3599	credit card cluster	Sag: Ich möchte mit Dollars bezahlen	can a pay by dollars	correct	correct
3602	RG	Frag: eine Cola	i would like a coke	correct	correct
3604	RG	Frag: ein Steak	i want a steak	correct	correct
3605	no method	Frag: mein Steak rare	like my steak rare	incorrect	correct
3606	RG	Frag: mein Steak rare	i would like my steak rare	correct	correct
3608	no method	Frag: Pilze	i would like pilz	incorrect	incorrect
3610	RG	Frag: Ich möchte die Dessertkarte	could i see the dessert menu	correct	correct
3611	RG	Sag: Mir geht es gut	i am good	correct	correct
3618	no method	Frag: 2 Tickets nach London	two ticket to london	incorrect	correct
3619	RG	Frag: 2 Tickets nach London	two tickets to london	correct	correct
3620	RG	Sag: Ich möchte um 21 Uhr morgen abreisen	i want to leave at nine o'clock tomorrow	correct	correct
3621	RG	Sag: Ich heisse James	i am james	correct	correct
3622	RG	Sag: Ich bin aus der Türkei	i am from turkey	correct	correct
3623	no method	Frag: 2 Musical-Tickets	two mitch tickets	incorrect	incorrect
3625	magic	Frag: ein Ticket für Montagabend	tickets for the monday evening	correct	incorrect
3626	no method	Frag: ein Ticket für Montagabend	tickets for the monday avenue	incorrect	incorrect
3627	magic	Frag: 2 Tickets für König der Löwen	two tickets for lion king	correct	correct
3628	no method	Frag: 2 Tickets für König der Löwen	two tickets for the ke	incorrect	incorrect
3629	no method	Frag: 2 Tickets für König der Löwen	two tickets for the king of lion	incorrect	correct
3630	no method	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in	incorrect	incorrect
3631	no method	Sag: Ich möchte in der zweiten Reihe sitzen	i would sit in the	incorrect	incorrect
3632	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i would like to sit in the second row	correct	correct
3634	RG	Frag: 5 Tickets	five tickets	correct	correct
3636	RG	Frag: Einzelzimmer	a single room	correct	correct
3637	RG	Frag: Einzelzimmer	a single room	correct	correct
3638	RG	Frag: Einzelzimmer	a single room	correct	correct
3639	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would to play with my post card	correct	incorrect
3640	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to play with my post card	correct	correct
3641	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to play with	incorrect	incorrect
3642	magic	Frag: Gibt es eine Hotelbar?	is there the hotel bar	correct	correct
3643	RG	Sag: Ich heisse Nick	my name is nick	correct	correct
3644	RG	Sag: Ich bin aus Österreich	i am from austria	correct	correct
3645	magic	Sag: Die Hauptstadt von Österreich ist Wien	the capital of austria is wien	correct	correct
3647	magic	Sag: Ich habe 1 Bruder	i have a brother	correct	correct
3648	no method	Sag: Ich habe 1 Bruder	i have a brother	incorrect	correct
3649	RG	Sag: Ich habe 1 Bruder	i have one brother	correct	correct
3650	no method	Sag: Ich gehe in die Ferien	i going in the holiday	incorrect	correct
3651	RG	Sag: Dies ist mein Pass	this is my passport	correct	correct
3652	no method	Sag: Dies ist mein Pass	this is my pass	incorrect	incorrect
3654	magic	Frag: ein Ticket zum Piccadilly Circus	a ticket from piccadilly circus	correct	incorrect
3655	no method	Frag: ein Ticket zum Piccadilly Circus	like a ticket to piccadilly circus	incorrect	correct
3656	RG	Frag: ein Ticket zum Piccadilly Circus	i would like a ticket to piccadilly circus	correct	correct
3657	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	i would like to play with my master card	correct	incorrect
3658	RG	Frag: 4 Musical-Tickets	four musical tickets	correct	correct
3659	RG	Frag: 4 Musical-Tickets	four musical tickets	correct	correct
3660	RG	Frag: 4 Musical-Tickets	i would like to buy four musical tickets	correct	correct
3661	no method	Sag: Ich möchte am Freitagabend gehen	i would go by free day avenue	incorrect	incorrect
3662	no method	Sag: Ich möchte am Freitagabend gehen	i would like to go a priday night	incorrect	incorrect
3663	no method	Sag: Ich möchte am Freitagabend gehen	i would like to go on free day night	incorrect	correct
3664	magic	Frag: 4 Tickets für Wicked	i would like four tickets for the wick	correct	incorrect
3665	RG	Frag: 4 Tickets für Wicked	i want four tickets for wicked	correct	correct
3666	no method	Sag: Ich möchte in der achten Reihe sitzen	in the eight row	incorrect	correct
3667	RG	Sag: Ich möchte in der achten Reihe sitzen	i want to sit in the eighth row	correct	correct
3668	no method	Sag: Ich möchte in der achten Reihe sitzen	i want seat in the eight row	incorrect	correct
3669	RG	Frag: Tickets für das Naturhistorische Museum	i want tickets for the natural history museum	correct	correct
3670	RG	Frag: 2 Tickets	i want two tickets	correct	correct
3671	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3673	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3674	no method	Frag: Zimmer für 6 Nächte	can i have six rooms for six nights	incorrect	incorrect
3675	RG	Frag: Zimmer für 6 Nächte	i want a room for six nights	correct	correct
3676	RG	Frag: Doppelzimmer	i want a double room	correct	correct
3679	no method	Frag: Gibt es ein Schwimmbad?	have you a pool	incorrect	correct
3680	RG	Frag: Wo ist das Schwimmbad?	where is the pool	correct	correct
3681	RG	Frag: Zimmer für 4 Nächte	i want a room for four nights	correct	correct
3682	RG	Frag: Doppelzimmer	i want a double room	correct	correct
3683	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	correct	correct
3684	RG	Frag: Gibt es ein Hotelrestaurant?	is there a hotel restaurant	correct	correct
3685	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	correct	correct
3686	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	correct	correct
3688	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss friends	incorrect	incorrect
3689	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3690	RG	Frag: Zimmer für 7 Nächte	i want a room for seven nights	correct	correct
3691	no method	Frag: Junior Suite	on the junior suite	incorrect	incorrect
3692	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by mastercard	correct	correct
3693	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	correct	correct
3694	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	correct	correct
3695	RG	Frag: 3 Tickets nach London	i would like three tickets to london	correct	correct
3696	RG	Sag: Ich möchte am Mittwochabend abreisen	i want to leave on wednesday evening	correct	correct
3697	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3698	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3700	RG	Frag: ein Ticket nach London	i want a ticket to london	correct	correct
3701	RG	Sag: Ich möchte am Sonntag abreisen	i would like to leave on sunday	correct	correct
3702	RG	Sag: Ich heisse John	my name is john	correct	correct
3703	RG	Sag: Ich bin aus Spanien	i am from spain	correct	correct
3704	RG	Sag: Ich heisse Brian	my name is brian	correct	correct
3705	RG	Sag: Ich bin aus Amerika	i am from america	correct	correct
3706	RG	Sag: Ich heisse Silvia	my name is silvia	correct	correct
3707	RG	Sag: Ich bin aus Portugal	i am from portugal	correct	correct
3708	magic	Sag: Die Hauptstadt von Portugal ist Lissabon	the capital of portugal is lisabon	correct	correct
3709	magic	Sag: Ich habe 2 jüngere Brüder	i have two young brothers	correct	incorrect
3710	no method	Sag: Ich gehe in die Ferien	i going to holidays	incorrect	incorrect
3712	RG	Sag: Dies ist mein Pass	that is my passport	correct	correct
3713	no method	Sag: Dies ist mein Pass	that is is my passport	incorrect	correct
3714	RG	Sag: Dies ist mein Pass	this is my passport	correct	correct
3716	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i want pay	incorrect	incorrect
3717	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3718	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3719	RG	Frag: 2 Musical-Tickets	i want two musical tickets	correct	correct
3720	RG	Frag: 2 Tickets für Montagabend	i want two tickets for monday evening	correct	correct
3723	RG	Frag: Zimmer für 2 Nächte	a room for two nights	correct	correct
3724	RG	Frag: Zimmer für 2 Nächte	can i have a room for two nights	correct	correct
3725	RG	Frag: Einzelzimmer	a single room	correct	correct
3726	RG	Frag: Einzelzimmer	single room	correct	correct
3727	RG	Frag: Einzelzimmer	single room	correct	correct
3728	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i	incorrect	incorrect
3729	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	ich verschtands nid	incorrect	incorrect
3730	no method	Frag: Gibt es einen Lift?	is it a lift	incorrect	incorrect
3731	RG	Frag: Wo ist der Lift?	where is the lift	correct	correct
3735	RG	Sag: Ich möchte mit Dollars bezahlen	can i pay with dollars	correct	correct
3736	RG	Frag: Zimmer für 3 Nächte	i want a room for three nights	correct	correct
3737	RG	Frag: Einzelzimmer	i want a single room	correct	correct
3738	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i want to pay with credit card	incorrect	correct
3740	magic	Frag: Gibt es ein Fitnessstudio?	have you got a fitness studio	correct	correct
3741	RG	Frag: Gibt es ein Fitnessstudio?	is there a gym	correct	correct
3742	RG	Frag: Wo ist das Fitnessstudio?	where is the gym	correct	correct
3743	RG	Frag: ein Ticket nach London	i want a ticket to london	correct	correct
3744	RG	Sag: Ich möchte um 12 Uhr morgen abreisen	i want to leave tomorrow at noon	correct	correct
3745	RG	Sag: Ich heisse Mona	my name is mona	correct	correct
3746	RG	Sag: Ich bin aus Deutschland	i am from germany	correct	correct
3749	no method	Frag: ein Steak	single room a single r	incorrect	incorrect
3750	no method	Frag: ein Steak	i would like a steetch	incorrect	incorrect
3751	no method	Frag: ein Steak	kusvich	incorrect	incorrect
3757	no method	Frag: Wo ist der Tower?	where is the tour i am	incorrect	incorrect
3759	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	correct	correct
3761	meaning_reject	Frag: Zimmer für 6 Nächte	a dorm for six nights	incorrect	incorrect
3762	no method	Frag: Zimmer für 6 Nächte	a dorm for six nights	incorrect	incorrect
3763	RG	Frag: Zimmer für 6 Nächte	i want a room for six nights	correct	correct
3764	magic	Frag: Twinzimmer	a twin zimmer	correct	incorrect
3767	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i would like to pay by credit card	correct	correct
3768	RG	Frag: Gibt es einen Lift?	is there a lift	correct	correct
3769	no method	Sag: Ich habe keine Reservation	i've no a reservation	incorrect	correct
3770	RG	Sag: Ich habe keine Reservation	i have no reservation	correct	correct
3771	RG	Sag: Ich habe keine Reservation	i have no reservation	correct	correct
3773	RG	Sag: Ich habe keine Reservation	i have not got a reservation	correct	correct
3774	no method	Sag: Ich habe keine Reservation	i have not a reservation	incorrect	correct
3776	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3777	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3778	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3779	no method	Sag: Ich habe keine Reservation	i have not have	incorrect	incorrect
3781	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3782	RG	Frag: Zimmer für 7 Nächte	a room for seven nights	correct	correct
3783	RG	Frag: Doppelzimmer	a double room	correct	correct
3784	RG	Frag: Doppelzimmer	a double room	correct	correct
3786	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3787	RG	Frag: Gibt es ein Hotelrestaurant?	is there a restaurant	correct	correct
3788	RG	Frag: Wo ist das Hotelrestaurant?	where is the restaurant	correct	correct
3789	RG	Frag: Wo ist das Hotelrestaurant?	where is the restaurant	correct	correct
3790	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	correct	correct
3791	RG	Frag: Zimmer für 2 Nächte	a room for two nights	correct	correct
3792	RG	Frag: Doppelzimmer	a double room	correct	correct
3794	RG	Frag: Doppelzimmer	a twin room	correct	correct
3795	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	correct	correct
3796	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	i would like to pay by swiss francs	correct	correct
3797	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	i would like to pay by swiss francs	correct	correct
3798	RG	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss francs	correct	correct
3799	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	correct	correct
3800	no method	Frag: ein Ticket zum Piccadilly Circus	i want a ticket to the piccadilly circus	incorrect	correct
3801	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to change with post card	correct	incorrect
3802	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	i would like to change with pounds	correct	incorrect
3803	no method	Sag: Mir geht es gut	i am	incorrect	incorrect
3804	no method	Frag: Stiefel	i would like stiefel	incorrect	incorrect
3805	RG	Frag: Stiefel	i would like some boots	correct	correct
3806	RG	Frag: blaue Stiefel	i would like blue boots	correct	correct
3807	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3808	RG	Frag: Zimmer für 3 Nächte	a room for three nights	correct	correct
3809	RG	Frag: Junior Suite	a junior suite	correct	correct
3810	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i want pay with credit card	correct	correct
3811	RG	Sag: Ich heisse Barbara	my name is barbara	correct	correct
3812	RG	Sag: Ich bin aus Frankreich	i am from france	correct	correct
3813	RG	Sag: Die Hauptstadt von Frankreich ist Paris	the capital of france is paris	correct	correct
3814	RG	Sag: Ich habe 2 jüngere Schwestern	i have two younger sisters	correct	correct
3815	no method	Sag: Ich gehe in die Ferien	i go in the holidays	incorrect	correct
3816	RG	Sag: Dies ist mein Pass	this is my passport	correct	correct
3817	magic	Sag: Dies ist mein Pass	these is my passport	correct	correct
3818	RG	Sag: Dies ist mein Pass	it is my passport	correct	correct
3819	magic	Frag: 3 Musical-Tickets	musical tickets	correct	incorrect
3820	RG	Frag: 3 Musical-Tickets	can i have three musical tickets	correct	correct
3822	magic	Frag: 3 Tickets für Starlight Express	i need three tickets for stairlight express	correct	correct
3823	no method	Sag: Ich möchte in der vierten Reihe sitzen	i would like in the fourth serious sit	incorrect	incorrect
3824	RG	Sag: Ich möchte in der vierten Reihe sitzen	i would like to sit in the fourth row	correct	correct
3825	RG	Frag: Tickets für das London Eye	i want tickets for the london eye	correct	correct
3826	RG	Frag: 4 Tickets	i need four tickets	correct	correct
3827	RG	Frag: 3 Musical-Tickets	i need three musical tickets	correct	correct
3828	magic	Frag: ein Ticket für Donnerstagabend	i need a ticket for thursday night	correct	correct
3829	RG	Frag: 3 Tickets für Wicked	i need three tickets for wicked	correct	correct
3830	RG	Frag: Ticket für dieses Musical	i want a ticket for this musical	correct	correct
3831	RG	Frag: Ticket für dieses Musical	i want tickets for this musical	correct	correct
3832	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i want to sit in the second row	correct	correct
3833	RG	Frag: Tickets für Madame Tussauds	i want tickets for madame tussauds	correct	correct
3834	RG	Frag: 1 Ticket	i need one ticket	correct	correct
3835	RG	Frag: 1 Musical-Ticket	i need one musical ticket	correct	correct
3836	meaning_reject	Frag: ein Ticket für heute Abend	a ticket for night	incorrect	incorrect
3837	RG	Frag: ein Ticket für heute Abend	i want tickets for this evening	correct	correct
3838	magic	Frag: ein Ticket für Mamma Mia	i want a ticket for mamma mia	correct	correct
3839	RG	Frag: Ticket für dieses Musical	i want a ticket for this musical	correct	correct
3840	no method	Sag: Ich möchte vorne sitzen	i want sit up front	incorrect	correct
3841	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	correct	correct
3842	RG	Frag: Tickets für das British Museum	i need tickets for the british museum	correct	correct
3843	RG	Frag: Tickets für das British Museum	can i have tickets for the british museum	correct	correct
3844	RG	Frag: 2 Tickets	i need two tickets	correct	correct
3845	RG	Frag: 2 Musical-Tickets	i need two musical tickets	correct	correct
3846	magic	Frag: ein Ticket für Samstagabend	i need a ticket for saturday night	correct	correct
3847	RG	Frag: 2 Tickets für König der Löwen	i need two tickets for the lion king	correct	correct
3848	RG	Sag: Ich möchte vorne sitzen	i want to sit in the front	correct	correct
3849	RG	Frag: Tickets für das Science Museum	i want tickets for the science museum	correct	correct
3850	RG	Frag: 1 Ticket	i need one ticket	correct	correct
3851	RG	Frag: Wo ist das Naturhistorische Museum?	where is the natural history museum	correct	correct
3852	magic	Frag: Wo ist die Oxford Street?	where is the oxford street	correct	correct
3853	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	correct	correct
3854	RG	Sag: Der Tower ist nahe der Tower Bridge	the tower is near the tower bridge	correct	correct
3855	RG	Frag: Wo ist das Naturhistorische Museum?	where is the natural history museum	correct	correct
3856	RG	Frag: Wo ist Piccadilly Circus?	where is piccadilly circus	correct	correct
3857	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	correct	correct
3858	no method	Sag: Big Ben ist neben den Houses of Parliament	the big ben is beside the houses of parliament	incorrect	correct
3859	RG	Frag: Wo ist das Naturhistorische Museum?	where is the natural history museum	correct	correct
3860	no method	Frag: Wo ist der Tower?	you can't use help at the silver level	incorrect	incorrect
3861	RG	Frag: Wo ist der Tower?	where is the tower	correct	correct
3862	no method	Sag: Marble Arch ist gegenüber dem Hyde Park	marble arch is across hyde street park	incorrect	incorrect
3863	RG	Frag: Wo ist die National Gallery?	where is the national gallery	correct	correct
3864	magic	Frag: Wo ist Big Ben?	where is the big ben	correct	correct
3865	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	correct	correct
3866	RG	Sag: Der Tower ist nahe der Tower Bridge	the tower is near tower bridge	correct	correct
3867	RG	Frag: Wo ist der Zoo?	where is the zoo	correct	correct
3868	RG	Frag: Wo ist Madame Tussauds?	where is madame tussauds	correct	correct
3869	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	correct	correct
3870	RG	Sag: Der Tower ist nahe der Tower Bridge	the tower is near tower bridge	correct	correct
3871	no method	Frag: einen Orangensaft	i want a an orange juice	incorrect	correct
3872	RG	Frag: einen Orangensaft	i want an orange juice	correct	correct
3873	RG	Frag: einen Hamburger	i want a hamburger	correct	correct
3874	RG	Frag: meinen Hamburger rare	i want my hamburger rare	correct	correct
3875	magic	Frag: Erbsen	i want peas	correct	correct
3876	no method	Frag: Erbsen	i want peas	incorrect	correct
3877	RG	Frag: Erbsen	i would like some peas	correct	correct
3878	Restarant Cluster	Frag: Ich möchte die Dessertkarte	can i have the dessert card	incorrect	correct
3879	Restarant Cluster	Frag: Ich möchte die Dessertkarte	can i have the dessert card	incorrect	correct
3880	RG	Frag: Ich möchte die Dessertkarte	the dessert menu	correct	correct
3882	RG	Frag: Karrotenkuchen	can i have the carrot cake	correct	correct
3883	RG	Frag: Ich möchte die Rechnung	i would like the bill	correct	correct
3888	RG	Sag: Ich habe keine Reservation	i do not have a reservation	correct	correct
3889	RG	Frag: Zimmer für 2 Nächte	a room for two nights	correct	correct
3890	RG	Frag: Suite	i would like a suite	correct	correct
3891	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	i would like pay with mastercard	correct	correct
3892	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	are there a coiffeur	incorrect	incorrect
3893	no method	Frag: Zimmer für 1 Woche	i would like a room for once a week	incorrect	incorrect
3894	RG	Frag: Suite	i would like a suite	correct	correct
3896	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	correct	correct
3897	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	correct	correct
3898	RG	Frag: 1 Musical-Ticket	can i have one musical ticket	correct	correct
3899	magic	Frag: 1 Musical-Ticket	a ticket for wednesday evening	correct	incorrect
3900	no method	Frag: ein Ticket für morgen Abend	a ticket for	incorrect	incorrect
3901	meaning_reject	Frag: ein Ticket für morgen Abend	a ticket for morning night	incorrect	incorrect
3902	RG	Frag: ein Ticket für morgen Abend	a ticket for tomorrow night	correct	correct
3903	magic	Frag: ein Ticket für Starlight Express	i would like a ticket for starlight express	correct	correct
3904	RG	Frag: ein Ticket für Starlight Express	a ticket for starlight express	correct	correct
3905	RG	Frag: ein Ticket für Starlight Express	a ticket for starlight express	correct	correct
3906	RG	Sag: Ich möchte in der Mitte sitzen	i want to sit in the middle	correct	correct
3907	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	correct	correct
3908	RG	Frag: 4 Tickets	i need four tickets	correct	correct
3909	RG	Sag: Mir geht es gut	i am fine	correct	correct
3910	RG	Frag: Stiefel	i want boots	correct	correct
3911	RG	Frag: weisse Stiefel	i want white boots	correct	correct
3912	RG	Frag: Grösse 36	thirty-six	correct	correct
3913	RG	Frag: ein T-Shirt	i want a t-shirt	correct	correct
3914	RG	Frag: ein gelbes T-Shirt	i want a yellow t-shirt	correct	correct
3915	no method	Frag: eine L	big	incorrect	correct
3916	no method	Frag: eine L	great	incorrect	incorrect
3917	RG	Frag: eine L	i am a large	correct	correct
3918	RG	Frag: Wie viel kostet es?	how much is it	correct	correct
3919	no method	Sag: Dies ist zu teuer	that is too expensive	incorrect	correct
3920	RG	Sag: Mir geht es gut	i am fine	correct	correct
3921	RG	Frag: Sandalen	i want sandals	correct	correct
3922	RG	Frag: rote Sandalen	i want red sandals	correct	correct
3923	RG	Frag: Grösse 38	thirty-eight	correct	correct
3924	RG	Frag: ein T-Shirt	i want a t-shirt	correct	correct
3925	RG	Frag: ein gelbes T-Shirt	i want a yellow t-shirt	correct	correct
3926	no method	Frag: eine L	great	incorrect	incorrect
3927	no method	Frag: eine L	great	incorrect	incorrect
3928	RG	Frag: eine L	i am a large	correct	correct
3929	RG	Frag: Wie viel kostet es?	how much is it	correct	correct
3930	RG	Sag: Das T-Shirt ist zu teuer	the t-shirt is too expensive	correct	correct
3931	RG	Sag: Mir geht es gut	i am fine	correct	correct
3932	RG	Frag: Stiefel	i want boots	correct	correct
3933	RG	Frag: braune Stiefel	i want brown boots	correct	correct
3934	RG	Frag: Grösse 39	thirty-nine	correct	correct
3935	RG	Frag: ein T-Shirt	i want a t-shirt	correct	correct
3936	RG	Frag: ein braunes T-Shirt	i want a brown t-shirt	correct	correct
3938	RG	Frag: Wie viel kostet das T-Shirt?	how much is the t-shirt	correct	correct
3940	RG	Sag: Mir geht es gut	i am fine	correct	correct
3941	RG	Frag: Sandalen	i want sandals	correct	correct
3942	RG	Frag: weisse Sandalen	i want white sandals	correct	correct
3943	RG	Frag: Grösse 44	forty-four	correct	correct
3944	magic	Frag: Hosen	i want pants	correct	correct
3945	RG	Frag: Hosen	i am looking for trousers	correct	correct
3946	RG	Frag: rote Hosen	i want red trousers	correct	correct
3947	RG	Frag: eine S	small	correct	correct
3948	no method	Frag: Wie viel kostet die Hose?	how much are the croasts	incorrect	incorrect
3949	no method	Frag: Wie viel kostet die Hose?	how much does the trousers cost	incorrect	correct
3950	RG	Sag: Die Hose ist zu teuer	the trousers is too expensive	correct	correct
3952	RG	Sag: Ich heisse Sarah	my name is sarah	correct	correct
3953	RG	Sag: Ich bin aus Italien	i am from italy	correct	correct
3954	RG	Sag: Die Hauptstadt von Italien ist Rom	the capital of italy is rome	correct	correct
3955	magic	Sag: Ich habe 1 Bruder	i have a brother	correct	correct
3956	RG	Sag: Ich habe 1 Bruder	i have one brother	correct	correct
3958	RG	Sag: Dies ist mein Pass	this is my passport	correct	correct
3959	RG	Sag: Dies ist mein Pass	it is my passport	correct	correct
3960	RG	Sag: Ich heisse Michelle	my name is michelle	correct	correct
3961	RG	Sag: Ich bin aus Deutschland	i am from germany	correct	correct
3962	RG	Sag: Die Hauptstadt von Deutschland ist Berlin	the capital of germany is berlin	correct	correct
3963	RG	Sag: Ich habe 4 ältere Brüder	i have four older brothers	correct	correct
